player_id;url;name;full_name;date_of_birth;age;place_of_birth;country_of_birth;positions;current_club;national_team;appearances_current_club;goals_current_club;scraping_timestamp;AgeCategory;GoalsPerClubGame
025bf6c0-bf3b-5aa3-b20a-dc16727fc8ca;https://en.wikipedia.org/wiki/Kostas_Tsimikas;Kostas Tsimikas;Konstantinos Tsimikas;1996-05-12;27;Thessaloniki;Greece;Left-back;Liverpool;Greece;46;0;2024-02-12 10:35:43;MidAge;0.0
d7bb7286-f284-5874-933e-9ab60ce16d4e;https://en.wikipedia.org/wiki/Mohamed_Abou_Gabal;Mohamed Abou Gabal;Mohamed Qotb Abou Gabal Ali;1989-01-29;35;Asyut;Egypt;Goalkeeper;National Bank of Egypt;Egypt;25;0;2024-02-12 10:35:43;Old;0.0
64f96cc0-983a-5d1b-928b-5ef850a7d5ec;https://en.wikipedia.org/wiki/Luis_Miguel_Rodr%C3%ADguez_(footballer);Pulga Rodriguez;Luis Miguel Rodríguez;1985-01-01;39;Simoca, Tucumán;Argentina;Second striker;Central Córdoba SdE;Argentina;16;3;2024-02-12 10:35:44;Old;0.1875
fcbf1fea-2bab-5d5e-aefc-d53d83bce28a;https://en.wikipedia.org/wiki/Marc_Cucurella;Marc Cucurella;Marc Cucurella Saseta;1998-07-22;25;Alella;Spain;Left-back, left wing-back;Chelsea;Catalonia;33;0;2024-02-12 10:35:44;MidAge;0.0
15daf077-5295-5444-b3cb-ca815fb58bcf;https://en.wikipedia.org/wiki/Eli_Babalj;Eli Babalj;Eli Babalj;1992-02-21;31;Sarajevo;SFR Yugoslavia;Striker;;Newcastle Jets;;;2024-02-12 10:35:44;MidAge;0
c556da3e-49b6-57a3-9287-40671514e9e8;https://en.wikipedia.org/wiki/Ramzi_Aya;Ramzi Aya;;1990-02-08;34;Rome;Italy;Defender;Casertana;Italy U20;0;0;2024-02-12 10:35:46;Old;0
b246b5e3-687b-5dd8-adb4-afc1d39ff199;https://en.wikipedia.org/wiki/Andriy_Lunin;Andriy Lunin;Andriy Oleksiyovych Lunin;1999-02-11;25;Krasnohrad;Ukraine;Goalkeeper;Real Madrid;Ukraine;21;0;2024-02-12 10:35:55;MidAge;0.0
5d48c21c-4405-5cd0-9597-40b4e5fe0fdd;https://en.wikipedia.org/wiki/Cristian_Medina;Cristian Medina;Cristian Nicolás Medina;2002-06-01;21;Moreno;Argentina;Central midfielder;Boca Juniors;Argentina U17;115;6;2024-02-12 10:35:55;Young;0.0521739130434783
d797cd57-ffe5-592c-b04c-f2d86013a1b4;https://en.wikipedia.org/wiki/Ahmed_Abdel-Ghani;Ahmed Abdel-Ghani;Ahmed Said Ahmed Hossam Abdel-Ghani;1981-12-01;42;El-Minya;Egypt;Striker;;Egypt;;;2024-02-12 10:35:55;Old;0
1dcc88fe-5295-56fb-a615-1ff6ac284bbc;https://en.wikipedia.org/wiki/Zsombor_Tak%C3%A1cs;Zsombor Takács;;1999-02-22;24;Budapest;Hungary;Centre-Back;Pécs;Hungary U-19;21;0;2024-02-12 10:35:56;MidAge;0.0
3374e7b0-dace-5c91-a591-4532a4b728f3;https://en.wikipedia.org/wiki/Vitaliy_Mykolenko;Vitaliy Mykolenko;Vitaliy Serhiyovych Mykolenko;1999-05-29;24;Cherkasy;Ukraine;Left-back;Everton;Ukraine;65;3;2024-02-12 10:35:56;MidAge;0.0461538461538462
cde36f0f-04e2-5215-8570-7d4743958dc6;https://en.wikipedia.org/wiki/Hiroki_Yamada_(footballer);Hiroki Yamada;Hiroki Yamada;1988-12-27;35;Hamamatsu, Shizuoka;Japan;Attacking midfielder, winger;Júbilo Iwata;Japan;145;18;2024-02-12 10:35:56;Old;0.124137931034483
5492782f-d0a9-5297-b32d-24004c03cd3d;https://en.wikipedia.org/wiki/Lucas_Gonz%C3%A1lez;;;;;;;;;;;;;;0
4307d7ac-ef7e-5161-9183-461a98db1c1b;https://en.wikipedia.org/wiki/Ederson_(footballer%2C_born_1993);Ederson;Ederson Santana de Moraes;1993-08-17;30;Osasco;Brazil;Goalkeeper;Manchester City;Brazil;238;0;2024-02-12 10:35:57;MidAge;0.0
70a3eb9f-69c3-5d1a-a221-8197e5909c26;https://en.wikipedia.org/wiki/Damien_Cahalane;Damien Cahalane;;;<class 'int'>;;;Full-back;;;;;2024-02-12 10:35:57;Old;0
35742ca5-1edc-5d79-abf7-855cbe241525;https://en.wikipedia.org/wiki/Ismail_Al-Zaabi;Ismail Al-Zaabi;Ismail Omar Sultan Al-Zaabi;2001-07-14;22;;Emirates;Midfielder;Al Bataeh;U20 UAE;0;0;2024-02-12 10:35:58;Young;0
72987097-cd03-5c52-af97-a3201c7c5e74;https://en.wikipedia.org/wiki/Vitor_Hugo_(footballer%2C_born_1991);Vitor Hugo;Vitor Hugo Franchescoli de Souza;1991-05-20;32;Guaraci;Brazil;Centre-back;Panathinaikos;;0;0;2024-02-12 10:35:58;MidAge;0
d5f8036a-1b13-54a8-83ea-0815f07c23cd;https://en.wikipedia.org/wiki/Carlos_Espinoza;;;;;;;;;;;;;;0
1f7a6c34-b02a-5011-a086-7c783208c7fd;https://en.wikipedia.org/wiki/Maurits_Kj%C3%A6rgaard;Maurits Kjærgaard;Maurits Kjaergaard;2003-06-26;20;Herlev;Denmark;Midfielder;Red Bull Salzburg;Denmark U21;55;5;2024-02-12 10:35:58;Young;0.0909090909090909
793b9bfd-7d4c-5404-acea-993fbc758d2e;https://en.wikipedia.org/wiki/Vin%C3%ADcius_J%C3%BAnior;Vinícius Júnior;Vinícius José Paixão de Oliveira Júnior;2000-07-12;23;São Gonçalo;Brazil;Winger;Real Madrid;Brazil;165;41;2024-02-12 10:35:59;Young;0.248484848484848
7ec3756e-9d24-552d-af21-2e12a2a350f3;https://en.wikipedia.org/wiki/Dion_Drena_Beljo;Dion Drena Beljo;Dion Drena Beljo;2002-03-01;21;Zagreb;Croatia;Striker;Augsburg;Croatia;32;5;2024-02-12 10:35:59;Young;0.15625
eade2aaf-ba24-5505-89b2-c2c4fdc1a296;https://en.wikipedia.org/wiki/Junior_Sornoza;Junior Sornoza;Junior Nazareno Sornoza Moreira;1994-01-28;30;Portoviejo;Ecuador;Attacking midfielder;Independiente del Valle;Ecuador;51;10;2024-02-12 10:35:59;MidAge;0.196078431372549
